,segment,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_slope_rpm_per_s,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz
acc_mag_std,0.018904453661125867,0.012684275122475639,0.20655802462526782,0.20655802462526782,0.2766159147863107,0.26347126371110713,-0.028270340733985207,-0.38633305188158407,0.27529633257325503,0.27529633257325503,0.292798073540308,0.3166273799297313,0.19782940584119474,0.002577119028033396,0.25025634468376934,0.25025634468376934,0.3658019355269908,0.39461029473457127,0.17033892267537126,0.29649056569597926,1.0,0.49115799967004065,0.8210573556096494,-0.49892197834252533,-0.35312305004744154,-0.4988802799715275,-0.5027394107089284,-0.4825581746375314,-0.31131137037435613,0.25499423672921945,0.2105961239887246,0.008360820766296394,0.16101067844289557,0.25028581234544334,-0.00011289147173758124,-0.016980021924373728,-0.03842360576373839,0.17708232703931437,0.5096920259986921,0.8046954901959361,0.02447944930591225
acc_mag_peak,0.15234884658168565,0.02165402131970163,0.7538017283819433,0.7538017283819433,0.8198849087281243,0.8164906251393439,-0.12069386281198434,-0.04717934044726615,0.5493325820428624,0.5493325820428624,0.5540058420385717,0.45258927783701647,0.3557880257961694,0.10710130712779149,0.8240199221507633,0.8240199221507633,0.942874069274969,0.9534627386354294,-0.12026929339916503,0.8501183169620754,0.49115799967004065,1.0,0.2524116824539518,-0.33900537599606045,-0.22246459763507095,-0.33901795725582906,-0.3392855419831913,-0.31088491540483043,-0.19897898111761694,0.7408542223177504,0.6929967036651185,0.032503444377644554,0.6482761783029773,0.7198621997647027,0.02861756817730666,-0.021095041066344435,-0.06644599323080728,0.5917570779320417,0.3391063056398303,0.5054913324390192,0.13736539770975728
acc_mag_p2p,0.006051854009289758,0.08814367925265787,-0.11012083882134682,-0.11012083882134682,-0.038749439978741564,-0.05274833674557606,0.03324894349441602,-0.3996757809143895,0.05865647409836342,0.05865647409836342,0.14580877550590973,0.18916473198093595,0.1939722027363087,0.0390141563170145,-0.06595309658868817,-0.06595309658868817,0.11981606282998457,0.14970333480477915,0.3919987564847378,-0.03063090205836551,0.8210573556096494,0.2524116824539518,1.0,-0.34579260822561697,-0.24864923802525074,-0.34572564874655076,-0.34970434620012314,-0.3367860176267215,-0.19934895752024492,-0.05879994112436816,-0.10214513683340706,0.053193762504655594,-0.1482485282503968,-0.012655572588938164,0.04661785569021076,0.05122081879750472,-0.011026375492967186,-0.1278819103203346,0.26955281420709737,0.5938129230291948,-0.2187449955511382
acs_mean,0.023519246453239256,-0.21181936917106606,-0.3653571605868076,-0.3653571605868076,-0.3206178660314204,-0.29148566916612445,0.23678564592249005,0.5077519596764257,-0.46988397948578703,-0.46988397948578703,-0.378891320712799,-0.40253875943083794,-0.10452960708005049,-0.09648909850919624,-0.38960785926299335,-0.38960785926299335,-0.28506496969143075,-0.32621342721206037,0.3963135556721192,-0.41824735650033257,-0.49892197834252533,-0.33900537599606045,-0.34579260822561697,1.0,0.8296790575483035,0.9999905604954111,0.995358507670993,0.9791945458512042,0.7325454995110684,-0.5281939022318738,-0.5289537321017037,0.12783408444132024,-0.5077258603244444,-0.5163797704996463,0.12422276673744098,0.1715593410559322,0.11116081538427225,-0.4753890361801866,-0.4299196432106449,-0.5352784889337805,-0.4272978191311244
acs_std,-0.018155562088858424,-0.21690066861991178,-0.23675348080120912,-0.23675348080120912,-0.1766289116620865,-0.14914971397137583,0.27214457375292384,0.4268634220345177,-0.3506278901196162,-0.3506278901196162,-0.2575983582814334,-0.2812184751556632,-0.03216996460827551,-0.0639824917821557,-0.2750987488871085,-0.2750987488871085,-0.18549858555748402,-0.2215596629634179,0.32155418365929983,-0.2901261842349282,-0.35312305004744154,-0.22246459763507095,-0.24864923802525074,0.8296790575483035,1.0,0.8301989302945592,0.8041015675910524,0.8707000717056134,0.908583046133921,-0.3928840354862606,-0.38512538321084466,0.157922038207841,-0.3841565582985608,-0.3692858908220754,0.15937102364896266,0.18782675024271536,0.05738945096843888,-0.3388582974400702,-0.2987822565955739,-0.37856655163023983,-0.33633840228773
acs_rms,0.023478764718314782,-0.21183182204238005,-0.3652911407787896,-0.3652911407787896,-0.3206014376371533,-0.29146235566592615,0.2366534481359781,0.5077386734617122,-0.4698812767025432,-0.4698812767025432,-0.37888191713762737,-0.40254812962353054,-0.10452105622152545,-0.09649578560567983,-0.38959048031448856,-0.38959048031448856,-0.2850995230100981,-0.32624075956352194,0.3962240263477321,-0.4182052789684542,-0.4988802799715275,-0.33901795725582906,-0.34572564874655076,0.9999905604954111,0.8301989302945592,1.0,0.9953119906030532,0.9796013653256657,0.7331188562425217,-0.5281014508726146,-0.5288522576495434,0.12810510305372058,-0.5076502766570553,-0.516318486795041,0.12452504438885094,0.17182110622603894,0.11089513346464523,-0.4753275816032099,-0.42986697004225216,-0.5352610157938424,-0.4273253986675478
acs_min,0.021081055976471502,-0.2085631715252202,-0.365598255699861,-0.365598255699861,-0.322868611138796,-0.2944898634940133,0.23283719029204097,0.5064570984299035,-0.4649250783496214,-0.4649250783496214,-0.37462821300052546,-0.39811674678469167,-0.10458580579763674,-0.0992483015810421,-0.3847624444246901,-0.3847624444246901,-0.2834087217400709,-0.3240345807018071,0.3902285331406705,-0.41707795430231326,-0.5027394107089284,-0.3392855419831913,-0.34970434620012314,0.995358507670993,0.8041015675910524,0.9953119906030532,1.0,0.9713313088561467,0.690509108879148,-0.5240914807958432,-0.5244803881538564,0.11766461816564638,-0.50191855927003,-0.5159231152704831,0.11381432284063117,0.16137017506988288,0.11718332699725802,-0.4696059709221881,-0.42484732568574063,-0.5355870995918521,-0.42136029276291675
acs_max,0.01957300072211136,-0.21826497570529355,-0.3295325278536203,-0.3295325278536203,-0.286677286708894,-0.25775592332160596,0.22125215861199,0.5020089025598585,-0.45031225592560953,-0.45031225592560953,-0.35174907732229266,-0.38150384505186075,-0.07971375596262642,-0.06639038710867354,-0.36164146530268415,-0.36164146530268415,-0.2609846999614388,-0.30099115631837364,0.3912559503052084,-0.3837030273389644,-0.4825581746375314,-0.31088491540483043,-0.3367860176267215,0.9791945458512042,0.8707000717056134,0.9796013653256657,0.9713313088561467,1.0,0.7916922683944961,-0.4972215727034806,-0.4961598246819861,0.13959827819439272,-0.47841400667683853,-0.4804281865544871,0.14150077663357996,0.18015180681251322,0.09533899254281117,-0.44605882688684756,-0.40605962180680355,-0.5147790325239452,-0.41285455222286505
acs_p2p,-0.04786972955729457,-0.1680855914347188,-0.21137349637127656,-0.21137349637127656,-0.1499486975347725,-0.1270334092700042,0.2969169665094372,0.39084903920592806,-0.3113739145643345,-0.3113739145643345,-0.2192400998917912,-0.24872608562160903,-0.011975791074723128,-0.06870554267740504,-0.23872290739542562,-0.23872290739542562,-0.16041359650924583,-0.195732748010478,0.3083486358995834,-0.25625863973886337,-0.31131137037435613,-0.19897898111761694,-0.19934895752024492,0.7325454995110684,0.908583046133921,0.7331188562425217,0.690509108879148,0.7916922683944961,1.0,-0.35721752227487324,-0.34235872417586755,0.13623624508865817,-0.33847759546038636,-0.3247510936728687,0.13486078706452778,0.16347836262003893,0.05024532224333952,-0.31355788711051313,-0.2725035909091547,-0.35271814418636654,-0.3190411992200422
rpm_mean,0.1372090914012551,0.08148477073877826,0.892567679766656,0.892567679766656,0.8629120229345149,0.8560214898790014,-0.23837274128118352,-0.14026128977461044,0.7363938181016554,0.7363938181016554,0.6550596373763086,0.5612973002565833,0.28267445056912616,0.1347277933353237,0.9069947760373168,0.9069947760373168,0.7442474989882598,0.7594153595985625,-0.545254151897034,0.9346845570330272,0.25499423672921945,0.7408542223177504,-0.05879994112436816,-0.5281939022318738,-0.3928840354862606,-0.5281014508726146,-0.5240914807958432,-0.4972215727034806,-0.35721752227487324,1.0,0.9603745045356085,-0.10079548213103881,0.9262631523773106,0.8558668047961744,-0.09622528287033157,-0.16842963011575102,-0.10530997033886086,0.8406245524486927,0.4916028186668432,0.39657942199920715,0.5078583972794234
rpm_median,0.006901954054309681,0.06637631864802118,0.8984167628054175,0.8984167628054175,0.8361647299650037,0.8285911026911634,-0.27122881332701165,-0.13355067370872575,0.6952806964139204,0.6952806964139204,0.6064574610023502,0.5126200716872262,0.233962547900565,0.12707898148527824,0.8688125269725346,0.8688125269725346,0.6948079884207656,0.7098559829952881,-0.593363585977814,0.8976201484881535,0.2105961239887246,0.6929967036651185,-0.10214513683340706,-0.5289537321017037,-0.38512538321084466,-0.5288522576495434,-0.5244803881538564,-0.4961598246819861,-0.34235872417586755,0.9603745045356085,1.0,-0.15446976433637308,0.9705418852937,0.8013350522133436,-0.1497655940943536,-0.2218640678950292,-0.1271765901490137,0.8819718210354524,0.4755711084550603,0.3529873085608348,0.5577760221330508
rpm_std,0.17734563488092595,-0.06233313849546994,-0.0721303752870046,-0.0721303752870046,-0.03620346126259959,-0.02560542305206208,0.04665537742281838,0.09968058599151786,-0.1100197655826461,-0.1100197655826461,-0.03932177626287061,-0.06421545340555712,0.08527914098550465,0.17326997444027478,-0.07972004567188187,-0.07972004567188187,0.008892940059807087,0.010553629642537317,0.23494400432392443,-0.044900812109095356,0.008360820766296394,0.032503444377644554,0.053193762504655594,0.12783408444132024,0.157922038207841,0.12810510305372058,0.11766461816564638,0.13959827819439272,0.13623624508865817,-0.10079548213103881,-0.15446976433637308,1.0,-0.21493804235023645,0.09954787350406435,0.9596094429459666,0.9960410383685677,0.09974990756004445,-0.16718462362342168,-0.14637505169556203,-0.0331414742358241,-0.2957922708184468
