feature,fault_id,healthy_median,fault_median,robust_effect,abs_robust_effect
rpm_mean,F2,2910.71495,2943.1926000000003,0.3958860867501852,0.3958860867501852
rpm_min,F2,2908.67,2940.5299999999997,0.3894389438943857,0.3894389438943857
ax_p2p,F2,7.8039,8.20015,0.31287011448874946,0.31287011448874946
spectral_centroid_Hz,F2,67.74798235906188,67.36959081879371,-0.23318287486024164,0.23318287486024164
ax_peak,F2,4.082181500000001,4.2401885,0.22201021342245117,0.22201021342245117
segment,F2,0.0,0.0,0.0,0.0
ax_crest,F3,1.5798607830966114,1.4457307695092956,-7.343419283175144,7.343419283175144
dominant_amplitude,F3,51.24126726776498,69.42463481916809,6.620933448115738,6.620933448115738
spectral_centroid_Hz,F3,67.74798235906188,75.38924177836273,4.7089077035990075,4.7089077035990075
spectral_energy,F3,5377.151765203438,8337.823643951984,4.302253068733617,4.302253068733617
ay_crest,F3,1.7657091881655558,1.6462080826185992,-4.195108171219438,4.195108171219438
ay_p2p,F3,5.5821000000000005,4.988300000000001,-3.0435674013326346,3.0435674013326346
acc_mag_std,F3,0.8400849782881068,0.9921153975316096,2.7661163840216365,2.7661163840216365
az_mean,F3,10.812233499999998,10.841748,2.6978519195611463,2.6978519195611463
ax_std,F3,2.570335263824352,3.663610558871672,2.437306674999797,2.437306674999797
ax_rms,F3,2.570335263824352,3.663610558871672,2.437306674999797,2.437306674999797
ay_peak,F3,3.1911555,2.8314095,-2.25934916203749,2.25934916203749
ax_p2p,F3,7.8039,10.1909,1.8847216739044612,1.8847216739044612
ax_peak,F3,4.082181500000001,5.3649745,1.8024084230877553,1.8024084230877553
acc_mag_rms,F3,3.425658377832428,4.367536131034636,1.759573885722194,1.759573885722194
acc_mag_peak,F3,4.538930574523173,5.6725646652918815,1.7313396819729154,1.7313396819729154
acs_min,F3,1429.0,1337.0,-1.6428571428571428,1.6428571428571428
dominant_frequency_Hz,F3,97.0,100.0,1.5,1.5
acs_mean,F3,1447.08,1356.865,-1.482945672721293,1.482945672721293
acs_rms,F3,1447.112818684155,1356.8773175935987,-1.480975688977033,1.480975688977033
acc_mag_p2p,F3,2.974917414660128,3.3586506961387435,1.4486503235997725,1.4486503235997725
acs_max,F3,1477.0,1371.0,-1.2045454545454546,1.2045454545454546
ay_std,F3,1.8046964936808627,1.7107368906490998,-1.1865352181792388,1.1865352181792388
ay_rms,F3,1.8046964936808627,1.7107368906490998,-1.1865352181792388,1.1865352181792388
rpm_min,F3,2908.67,2992.37,1.0231023102310215,1.0231023102310215
rpm_mean,F3,2910.71495,2993.9014,1.0140006484810242,1.0140006484810242
rpm_median,F3,2910.93,2994.01,1.008987126548466,1.008987126548466
rpm_max,F3,2913.75,2995.81,0.9835790483039687,0.9835790483039687
acs_std,F3,9.253916738333018,5.918580910995473,-0.7306656126299175,0.7306656126299175
az_std,F3,1.3764548541662198,1.6723314975434744,0.7271206583441039,0.7271206583441039
az_rms,F3,1.37645485416622,1.6723314975434744,0.7271206583441029,0.7271206583441029
acs_p2p,F3,47.0,35.0,-0.7058823529411765,0.7058823529411765
rpm_p2p,F3,3.269999999999982,2.6900000000000546,-0.6666666666663182,0.6666666666663182
ax_mean,F3,-0.926533,-0.934272,-0.6216813270675147,0.6216813270675147
ay_mean,F3,1.5316900000000002,1.5222854999999995,-0.6024470708818074,0.6024470708818074
rpm_cv_percent,F3,0.028725944249811,0.0236154692204452,-0.5639985557906856,0.5639985557906856
az_p2p,F3,4.398199999999999,5.074499999999999,0.5240198357353169,0.5240198357353169
rpm_std,F3,0.8390491269884461,0.7057627859274098,-0.5043080697959976,0.5043080697959976
az_peak,F3,2.333553000000002,2.6308285,0.4197964532537236,0.4197964532537236
rpm_slope_rpm_per_s,F3,0.6212690317262956,0.272481812045251,-0.21493018806051797,0.21493018806051797
az_crest,F3,1.5943036926464842,1.5895288280247069,-0.07499887378834205,0.07499887378834205
segment,F3,0.0,0.0,0.0,0.0
rpm_p2p,F4,3.269999999999982,1256.825,1440.8678160913817,1440.8678160913817
rpm_cv_percent,F4,0.028725944249811,7.833458615871658,861.3402726425927,861.3402726425927
rpm_std,F4,0.8390491269884461,188.70391031498963,710.8137621155679,710.8137621155679
ax_crest,F4,1.5798607830966114,1.833962265004284,13.911679214954178,13.911679214954178
az_crest,F4,1.5943036926464842,2.1133012586728706,8.151902940523778,8.151902940523778
spectral_centroid_Hz,F4,67.74798235906188,55.16705417348615,-7.752966677435997,7.752966677435997
rpm_min,F4,2908.67,2279.545,-7.690074563011862,7.690074563011862
rpm_max,F4,2913.75,3268.1099999999997,4.247393024092058,4.247393024092058
ay_p2p,F4,5.5821000000000005,4.7956,-4.031266017426942,4.031266017426942
ay_std,F4,1.8046964936808627,1.5031011620648602,-3.8085887025284864,3.8085887025284864
ay_rms,F4,1.8046964936808627,1.5031011620648602,-3.8085887025284864,3.8085887025284864
dominant_amplitude,F4,51.24126726776498,42.46042153859797,-3.1972842778784374,3.1972842778784374
ay_peak,F4,3.1911555,2.749432,-2.7742007404592877,2.7742007404592877
ay_crest,F4,1.7657091881655558,1.842731205349859,2.7038720033155665,2.7038720033155665
dominant_frequency_Hz,F4,97.0,92.0,-2.5,2.5
az_mean,F4,10.812233499999998,10.835051499999999,2.0857404021935793,2.0857404021935793
rpm_median,F4,2910.93,2773.0950000000003,-1.6739737673062922,1.6739737673062922
rpm_mean,F4,2910.71495,2773.485475,-1.6727577224501147,1.6727577224501147
az_std,F4,1.3764548541662198,0.7150670432584961,-1.6253690558291611,1.6253690558291611
az_rms,F4,1.37645485416622,0.7150670432584961,-1.6253690558291607,1.6253690558291607
az_p2p,F4,4.398199999999999,2.3049999999999997,-1.6218812955214637,1.6218812955214637
az_peak,F4,2.333553000000002,1.2100577500000016,-1.5865394934914219,1.5865394934914219
ax_p2p,F4,7.8039,6.192,-1.272720094749309,1.272720094749309
ax_peak,F4,4.082181500000001,3.2328312500000003,-1.1933928893840962,1.1933928893840962
