dataset_type,fault_id,file,iteration,segment,window,rpm_raw_mean,rpm_raw_median,rpm_mean,rpm_median,rpm_invalid_samples,rpm_valid_fraction
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,10,3002.5086499999998,3001.7250000000004,3002.5086499999998,3001.7250000000004,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,11,3002.45495,3002.85,3002.45495,3002.85,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,12,3000.954,3001.05,3000.954,3001.05,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,13,3002.5893999999994,3002.4,3002.5893999999994,3002.4,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,14,3002.5849,3002.325,3002.5849,3002.325,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,15,3001.3724999999995,3001.425,3001.3724999999995,3001.425,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,16,3002.7053,3002.85,3002.7053,3002.85,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,17,3004.2475,3004.21,3004.2475,3004.21,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,18,3006.2158,3006.16,3006.2158,3006.16,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,19,3005.3172499999996,3005.1850000000004,3005.3172499999996,3005.1850000000004,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,20,3006.5205000000005,3006.77,3006.5205000000005,3006.77,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,0,2973.7273000000005,2973.68,2973.7273000000005,2973.68,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,1,2974.2185,2974.27,2974.2185,2974.27,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,2,2976.6592000000005,2976.93,2976.6592000000005,2976.93,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,3,2977.4903499999996,2977.67,2977.4903499999996,2977.67,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,4,2977.5199,2977.08,2977.5199,2977.08,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,5,2976.9790500000004,2977.08,2976.9790500000004,2977.08,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,6,2976.9323,2976.49,2976.9323,2976.49,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,7,2977.6181499999993,2977.67,2977.6181499999993,2977.67,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,8,2975.8881999999994,2975.75,2975.8881999999994,2975.75,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,9,2976.1623,2976.19,2976.1623,2976.19,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,10,2977.7183,2977.67,2977.7183,2977.67,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,11,2979.3954,2979.74,2979.3954,2979.74,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,12,2980.3418,2980.48,2980.3418,2980.48,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,13,2982.0705,2982.11,2982.0705,2982.11,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,14,2981.69255,2980.995,2981.69255,2980.995,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,15,2982.5152000000003,2982.4,2982.5152000000003,2982.4,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,16,2981.8126500000003,2981.81,2981.8126500000003,2981.81,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,17,2983.39195,2983.74,2983.39195,2983.74,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,18,2982.6292000000003,2982.625,2982.6292000000003,2982.625,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,19,2982.47745,2982.4,2982.47745,2982.4,0,1.0
healthy,HEALTHY,healthy_cc_04A_1.csv,1,0,20,2982.0617500000003,2981.96,2982.0617500000003,2981.96,0,1.0
healthy,HEALTHY,healthy_cc_04A_2.csv,2,0,0,2956.30275,2956.1,2956.30275,2956.1,0,1.0
healthy,HEALTHY,healthy_cc_04A_2.csv,2,0,1,2962.4824,2963.11,2962.4824,2963.11,0,1.0
healthy,HEALTHY,healthy_cc_04A_2.csv,2,0,2,2963.5396499999997,2962.8900000000003,2963.5396499999997,2962.8900000000003,0,1.0
