timestamp_ms,ax,ay,az,acs_adc
1159296,-0.8344,1.488,10.9092,1383
1159301,-0.838,1.5155,10.9511,1384
1159306,-0.8894,1.4581,10.8816,1381
1159311,-0.8452,1.5203,10.9607,1383
1159316,-0.8918,1.4281,10.9283,1379
1159321,-0.8392,1.506,10.9583,1383
1159326,-0.8655,1.4808,10.9367,1381
1159331,-0.8248,1.4844,10.9008,1387
1159336,-0.8452,1.4581,10.9068,1381
1159341,-0.8703,1.4736,10.902,1381
1159346,-0.8475,1.5131,10.9451,1381
1159351,-0.8667,1.47,10.8757,1381
1159356,-0.814,1.5167,10.981,1381
1159361,-0.8464,1.4664,10.9092,1383
1159366,-0.8787,1.4868,10.9415,1381
1159371,-0.8871,1.4964,10.884,1381
1159376,-0.8871,1.4952,10.914,1381
1159381,-0.8535,1.4904,10.9535,1383
1159386,-0.8595,1.4449,10.8733,1381
1159391,-0.8523,1.5155,10.9451,1383
1159396,-0.8954,1.4401,10.89,1386
1159401,-0.8284,1.5239,10.8601,1385
1159406,-0.8954,1.5191,10.8721,1383
1159411,-0.832,1.4868,10.9104,1383
1159416,-0.8595,1.5131,10.9439,1383
1159421,-0.9062,1.4653,10.8553,1383
1159426,-0.8691,1.5048,10.9535,1383
1159431,-0.8942,1.4461,10.9499,1385
1159436,-0.826,1.5107,10.9678,1383
1159441,-0.8871,1.5024,10.92,1381
1159446,-0.8308,1.482,10.9152,1380
1159451,-0.8571,1.5071,10.9499,1385
1159456,-0.8859,1.4569,10.914,1383
1159461,-0.7925,1.5287,10.9954,1381
1159466,-0.9002,1.4617,10.8936,1383
1159471,-0.8236,1.47,10.9451,1383
1159476,-0.8727,1.4533,10.9068,1379
1159481,-0.8727,1.494,10.8781,1383
1159486,-0.8523,1.488,10.9523,1382
1159491,-0.8918,1.4808,10.8793,1387
1159496,-0.826,1.4988,10.9595,1387
1159501,-0.9038,1.4581,10.9379,1383
1159506,-0.8571,1.5131,10.9607,1381
1159511,-0.8775,1.488,10.9152,1381
1159516,-0.9014,1.4892,10.9511,1381
1159521,-0.8751,1.5143,10.9355,1381
1159526,-0.8667,1.4234,10.896,1383
